,genes,hgnc_id
ENSG00000004779,NDUFAB1,HGNC:7694
ENSG00000004799,PDK4,HGNC:8812
ENSG00000004809,SLC22A16,HGNC:20302
ENSG00000004838,ZMYND10,HGNC:19412
ENSG00000004846,ABCB5,HGNC:46
ENSG00000004848,ARX,HGNC:18060
ENSG00000004864,SLC25A13,HGNC:10983
ENSG00000004866,ST7,HGNC:11351
ENSG00000004897,CDC27,HGNC:1728
ENSG00000004939,SLC4A1,HGNC:11027
ENSG00000004948,CALCR,HGNC:1440
ENSG00000004961,HCCS,HGNC:4837
ENSG00000004975,DVL2,HGNC:3086
ENSG00000005001,PRSS22,HGNC:14368
ENSG00000005007,UPF1,HGNC:9962
ENSG00000005020,SKAP2,HGNC:15687
ENSG00000005022,SLC25A5,HGNC:10991
ENSG00000005059,MCUB,HGNC:26076
ENSG00000005073,HOXA11,HGNC:5101
ENSG00000005075,POLR2J,HGNC:9197
ENSG00000005100,DHX33,HGNC:16718
ENSG00000005102,MEOX1,HGNC:7013
ENSG00000005108,THSD7A,HGNC:22207
ENSG00000005156,LIG3,HGNC:6600
ENSG00000005175,RPAP3,HGNC:26151
ENSG00000005187,ACSM3,HGNC:10522
ENSG00000005189,REXO5,HGNC:24661
ENSG00000005194,CIAPIN1,HGNC:28050
ENSG00000005206,SPPL2B,HGNC:30627
ENSG00000005238,FAM214B,HGNC:25666
ENSG00000005243,COPZ2,HGNC:19356
ENSG00000005249,PRKAR2B,HGNC:9392
ENSG00000005302,MSL3,HGNC:7370
ENSG00000005339,CREBBP,HGNC:2348
ENSG00000005379,TSPOAP1,HGNC:16831
ENSG00000005381,MPO,HGNC:7218
ENSG00000005421,PON1,HGNC:9204
ENSG00000005436,GCFC2,HGNC:1317
ENSG00000005448,WDR54,HGNC:25770
ENSG00000005469,CROT,HGNC:2366
ENSG00000005471,ABCB4,HGNC:45
ENSG00000005483,KMT2E,HGNC:18541
ENSG00000005486,RHBDD2,HGNC:23082
ENSG00000005513,SOX8,HGNC:11203
ENSG00000005700,IBTK,HGNC:17853
ENSG00000005801,ZNF195,HGNC:12986
ENSG00000005810,MYCBP2,HGNC:23386
ENSG00000005812,FBXL3,HGNC:13599
ENSG00000005844,ITGAL,HGNC:6148
ENSG00000005882,PDK2,HGNC:8810
ENSG00000005884,ITGA3,HGNC:6139
ENSG00000005889,ZFX,HGNC:12869
ENSG00000005893,LAMP2,HGNC:6501
ENSG00000005961,ITGA2B,HGNC:6138
ENSG00000005981,ASB4,HGNC:16009
ENSG00000006007,GDE1,HGNC:29644
ENSG00000006015,REX1BD,HGNC:26098
ENSG00000006016,CRLF1,HGNC:2364
ENSG00000006025,OSBPL7,HGNC:16387
ENSG00000006042,TMEM98,HGNC:24529
ENSG00000006047,YBX2,HGNC:17948
ENSG00000006059,KRT33A,HGNC:6450
ENSG00000006062,MAP3K14,HGNC:6853
ENSG00000006071,ABCC8,HGNC:59
ENSG00000006116,CACNG3,HGNC:1407
ENSG00000006118,TMEM132A,HGNC:31092
ENSG00000006125,AP2B1,HGNC:563
ENSG00000006128,TAC1,HGNC:11517
ENSG00000006194,ZNF263,HGNC:13056
ENSG00000006210,CX3CL1,HGNC:10647
ENSG00000006282,SPATA20,HGNC:26125
ENSG00000006283,CACNA1G,HGNC:1394
ENSG00000006327,TNFRSF12A,HGNC:18152
ENSG00000006377,DLX6,HGNC:2919
ENSG00000006432,MAP3K9,HGNC:6861
ENSG00000006451,RALA,HGNC:9839
ENSG00000006453,BAIAP2L1,HGNC:21649
ENSG00000006459,KDM7A,HGNC:22224
ENSG00000006468,ETV1,HGNC:3490
ENSG00000006530,AGK,HGNC:21869
ENSG00000006534,ALDH3B1,HGNC:410
ENSG00000006555,TTC22,HGNC:26067
ENSG00000006576,PHTF2,HGNC:13411
ENSG00000006606,CCL26,HGNC:10625
ENSG00000006607,FARP2,HGNC:16460
ENSG00000006611,USH1C,HGNC:12597
ENSG00000006625,GGCT,HGNC:21705
ENSG00000006634,DBF4,HGNC:17364
ENSG00000006638,TBXA2R,HGNC:11608
ENSG00000006652,IFRD1,HGNC:5456
ENSG00000006659,LGALS14,HGNC:30054
ENSG00000006695,COX10,HGNC:2260
ENSG00000006704,GTF2IRD1,HGNC:4661
ENSG00000006712,PAF1,HGNC:25459
ENSG00000006715,VPS41,HGNC:12713
ENSG00000006740,ARHGAP44,HGNC:29096
ENSG00000006744,ELAC2,HGNC:14198
ENSG00000006747,SCIN,HGNC:21695
ENSG00000006756,ARSD,HGNC:717
ENSG00000006757,PNPLA4,HGNC:24887
ENSG00000006788,MYH13,HGNC:7571
ENSG00000006831,ADIPOR2,HGNC:24041
ENSG00000006837,CDKL3,HGNC:15483
ENSG00000007001,UPP2,HGNC:23061
ENSG00000007038,PRSS21,HGNC:9485
ENSG00000007047,MARK4,HGNC:13538
ENSG00000007062,PROM1,HGNC:9454
ENSG00000007080,CCDC124,HGNC:25171
ENSG00000007129,CEACAM21,HGNC:28834
ENSG00000007168,PAFAH1B1,HGNC:8574
ENSG00000007171,NOS2,HGNC:7873
ENSG00000007174,DNAH9,HGNC:2953
ENSG00000007202,KIAA0100,HGNC:28960
ENSG00000007216,SLC13A2,HGNC:10917
ENSG00000007237,GAS7,HGNC:4169
ENSG00000007255,TRAPPC6A,HGNC:23069
ENSG00000007264,MATK,HGNC:6906
ENSG00000007306,CEACAM7,HGNC:1819
ENSG00000007312,CD79B,HGNC:1699
ENSG00000007314,SCN4A,HGNC:10591
ENSG00000007341,ST7L,HGNC:18441
ENSG00000007350,TKTL1,HGNC:11835
ENSG00000007372,PAX6,HGNC:8620
ENSG00000007376,RPUSD1,HGNC:14173
ENSG00000007384,RHBDF1,HGNC:20561
ENSG00000007392,LUC7L,HGNC:6723
ENSG00000007402,CACNA2D2,HGNC:1400
ENSG00000007516,BAIAP3,HGNC:948
ENSG00000007520,TSR3,HGNC:14175
ENSG00000007541,PIGQ,HGNC:14135
ENSG00000007545,CRAMP1,HGNC:14122
ENSG00000007866,TEAD3,HGNC:11716
ENSG00000007908,SELE,HGNC:10718
ENSG00000007923,DNAJC11,HGNC:25570
ENSG00000007933,FMO3,HGNC:3771
ENSG00000007944,MYLIP,HGNC:21155
ENSG00000007952,NOX1,HGNC:7889
ENSG00000007968,E2F2,HGNC:3114
ENSG00000008018,PSMB1,HGNC:9537
ENSG00000008056,SYN1,HGNC:11494
ENSG00000008083,JARID2,HGNC:6196
ENSG00000008086,CDKL5,HGNC:11411
ENSG00000008118,CAMK1G,HGNC:14585
ENSG00000008128,CDK11A,HGNC:1730
ENSG00000008130,NADK,HGNC:29831
ENSG00000008196,TFAP2B,HGNC:11743
ENSG00000008197,TFAP2D,HGNC:15581
ENSG00000008226,DLEC1,HGNC:2899
ENSG00000008256,CYTH3,HGNC:9504
ENSG00000008277,ADAM22,HGNC:201
ENSG00000008282,SYPL1,HGNC:11507
ENSG00000008283,CYB561,HGNC:2571
ENSG00000008294,SPAG9,HGNC:14524
ENSG00000008300,CELSR3,HGNC:3230
ENSG00000008311,AASS,HGNC:17366
ENSG00000008323,PLEKHG6,HGNC:25562
ENSG00000008324,SS18L2,HGNC:15593
ENSG00000008382,MPND,HGNC:25934
ENSG00000008394,MGST1,HGNC:7061
ENSG00000008405,CRY1,HGNC:2384
ENSG00000008438,PGLYRP1,HGNC:8904
ENSG00000008441,NFIX,HGNC:7788
ENSG00000008513,ST3GAL1,HGNC:10862
ENSG00000008516,MMP25,HGNC:14246
ENSG00000008517,IL32,HGNC:16830
ENSG00000008710,PKD1,HGNC:9008
ENSG00000008735,MAPK8IP2,HGNC:6883
ENSG00000008838,MED24,HGNC:22963
ENSG00000008853,RHOBTB2,HGNC:18756
ENSG00000008869,HEATR5B,HGNC:29273
ENSG00000008952,SEC62,HGNC:11846
ENSG00000008988,RPS20,HGNC:10405
ENSG00000009307,CSDE1,HGNC:29905
ENSG00000009335,UBE3C,HGNC:16803
ENSG00000009413,REV3L,HGNC:9968
ENSG00000009694,TENM1,HGNC:8117
ENSG00000009709,PAX7,HGNC:8621
ENSG00000009724,MASP2,HGNC:6902
ENSG00000009765,IYD,HGNC:21071
ENSG00000009780,FAM76A,HGNC:28530
ENSG00000009790,TRAF3IP3,HGNC:30766
ENSG00000009830,POMT2,HGNC:19743
ENSG00000009844,VTA1,HGNC:20954
ENSG00000009950,MLXIPL,HGNC:12744
ENSG00000009954,BAZ1B,HGNC:961
ENSG00000010017,RANBP9,HGNC:13727
ENSG00000010030,ETV7,HGNC:18160
ENSG00000010072,SPRTN,HGNC:25356
ENSG00000010165,EEF1AKNMT,HGNC:24248
ENSG00000010219,DYRK4,HGNC:3095
ENSG00000010244,ZNF207,HGNC:12998
ENSG00000010256,UQCRC1,HGNC:12585
ENSG00000010270,STARD3NL,HGNC:19169
ENSG00000010278,CD9,HGNC:1709
ENSG00000010282,HHATL,HGNC:13242
ENSG00000010292,NCAPD2,HGNC:24305
ENSG00000010295,IFFO1,HGNC:24970
ENSG00000010310,GIPR,HGNC:4271
ENSG00000010318,PHF7,HGNC:18458
ENSG00000010319,SEMA3G,HGNC:30400
ENSG00000010322,NISCH,HGNC:18006
ENSG00000010327,STAB1,HGNC:18628
ENSG00000010361,FUZ,HGNC:26219
ENSG00000010379,SLC6A13,HGNC:11046
ENSG00000010404,IDS,HGNC:5389
ENSG00000010438,PRSS3,HGNC:9486
ENSG00000010539,ZNF200,HGNC:12993
ENSG00000010610,CD4,HGNC:1678
ENSG00000010626,LRRC23,HGNC:19138
ENSG00000010671,BTK,HGNC:1133
ENSG00000010704,HFE,HGNC:4886
ENSG00000010803,SCMH1,HGNC:19003
ENSG00000010810,FYN,HGNC:4037
ENSG00000010818,HIVEP2,HGNC:4921
ENSG00000010932,FMO1,HGNC:3769
ENSG00000011007,ELOA,HGNC:11620
ENSG00000011009,LYPLA2,HGNC:6738
ENSG00000011021,CLCN6,HGNC:2024
ENSG00000011028,MRC2,HGNC:16875
ENSG00000011052,NME1-NME2,HGNC:33531
ENSG00000011083,SLC6A7,HGNC:11054
ENSG00000011105,TSPAN9,HGNC:21640
ENSG00000011114,BTBD7,HGNC:18269
ENSG00000011132,APBA3,HGNC:580
ENSG00000011143,MKS1,HGNC:7121
ENSG00000011198,ABHD5,HGNC:21396
ENSG00000011201,ANOS1,HGNC:6211
ENSG00000011243,AKAP8L,HGNC:29857
ENSG00000011258,MBTD1,HGNC:19866
ENSG00000011260,UTP18,HGNC:24274
ENSG00000011275,RNF216,HGNC:21698
ENSG00000011295,TTC19,HGNC:26006
ENSG00000011304,PTBP1,HGNC:9583
ENSG00000011332,DPF1,HGNC:20225
ENSG00000011347,SYT7,HGNC:11514
ENSG00000011376,LARS2,HGNC:17095
ENSG00000011405,PIK3C2A,HGNC:8971
ENSG00000011422,PLAUR,HGNC:9053
ENSG00000011426,ANLN,HGNC:14082
ENSG00000011451,WIZ,HGNC:30917
ENSG00000011454,RABGAP1,HGNC:17155
ENSG00000011465,DCN,HGNC:2705
ENSG00000011478,QPCTL,HGNC:25952
ENSG00000011485,PPP5C,HGNC:9322
ENSG00000011523,CEP68,HGNC:29076
ENSG00000011566,MAP4K3,HGNC:6865
ENSG00000011590,ZBTB32,HGNC:16763
ENSG00000011600,TYROBP,HGNC:12449
ENSG00000011638,TMEM159,HGNC:30136
ENSG00000011677,GABRA3,HGNC:4077
ENSG00000012048,BRCA1,HGNC:1100
ENSG00000012061,ERCC1,HGNC:3433
ENSG00000012124,CD22,HGNC:1643
ENSG00000012171,SEMA3B,HGNC:10724
ENSG00000012174,MBTPS2,HGNC:15455
ENSG00000012211,PRICKLE3,HGNC:6645
ENSG00000012223,LTF,HGNC:6720
ENSG00000012232,EXTL3,HGNC:3518
ENSG00000012504,NR1H4,HGNC:7967
ENSG00000012660,ELOVL5,HGNC:21308
ENSG00000012779,ALOX5,HGNC:435
ENSG00000012817,KDM5D,HGNC:11115
ENSG00000012822,CALCOCO1,HGNC:29306
ENSG00000012963,UBR7,HGNC:20344
ENSG00000012983,MAP4K5,HGNC:6867
ENSG00000013016,EHD3,HGNC:3244
ENSG00000013275,PSMC4,HGNC:9551
ENSG00000013288,MAN2B2,HGNC:29623
ENSG00000013293,SLC7A14,HGNC:29326
ENSG00000013297,CLDN11,HGNC:8514
ENSG00000013306,SLC25A39,HGNC:24279
ENSG00000013364,MVP,HGNC:7531
ENSG00000013374,NUB1,HGNC:17623
ENSG00000013375,PGM3,HGNC:8907
ENSG00000013392,RWDD2A,HGNC:21385
ENSG00000013441,CLK1,HGNC:2068
ENSG00000013503,POLR3B,HGNC:30348
ENSG00000013523,ANGEL1,HGNC:19961
ENSG00000013561,RNF14,HGNC:10058
ENSG00000013563,DNASE1L1,HGNC:2957
ENSG00000013573,DDX11,HGNC:2736
ENSG00000013583,HEBP1,HGNC:17176
ENSG00000013588,GPRC5A,HGNC:9836
ENSG00000013619,MAMLD1,HGNC:2568
ENSG00000013725,CD6,HGNC:1691
ENSG00000013810,TACC3,HGNC:11524
ENSG00000014123,UFL1,HGNC:23039
ENSG00000014138,POLA2,HGNC:30073
ENSG00000014164,ZC3H3,HGNC:28972
ENSG00000014216,CAPN1,HGNC:1476
ENSG00000014257,ACP3,HGNC:125
ENSG00000014641,MDH1,HGNC:6970
ENSG00000014824,SLC30A9,HGNC:1329
ENSG00000014914,MTMR11,HGNC:24307
ENSG00000014919,COX15,HGNC:2263
ENSG00000015133,CCDC88C,HGNC:19967
ENSG00000015153,YAF2,HGNC:17363
ENSG00000015171,ZMYND11,HGNC:16966
ENSG00000015285,WAS,HGNC:12731
ENSG00000015413,DPEP1,HGNC:3002
ENSG00000015475,BID,HGNC:1050
ENSG00000015479,MATR3,HGNC:6912
ENSG00000015520,NPC1L1,HGNC:7898
ENSG00000015532,XYLT2,HGNC:15517
ENSG00000015568,RGPD5,HGNC:32418
ENSG00000015592,STMN4,HGNC:16078
ENSG00000015676,NUDCD3,HGNC:22208
ENSG00000016082,ISL1,HGNC:6132
ENSG00000016391,CHDH,HGNC:24288
ENSG00000016402,IL20RA,HGNC:6003
ENSG00000016490,CLCA1,HGNC:2015
ENSG00000016602,CLCA4,HGNC:2018
ENSG00000016864,GLT8D1,HGNC:24870
ENSG00000017260,ATP2C1,HGNC:13211
ENSG00000017427,IGF1,HGNC:5464
ENSG00000017483,SLC38A5,HGNC:18070
ENSG00000017797,RALBP1,HGNC:9841
ENSG00000018189,RUFY3,HGNC:30285
ENSG00000018236,CNTN1,HGNC:2171
ENSG00000018280,SLC11A1,HGNC:10907
ENSG00000018408,WWTR1,HGNC:24042
ENSG00000018510,AGPS,HGNC:327
ENSG00000018610,CXorf56,HGNC:26239
ENSG00000018625,ATP1A2,HGNC:800
ENSG00000018699,TTC27,HGNC:25986
ENSG00000018869,ZNF582,HGNC:26421
ENSG00000019102,VSIG2,HGNC:17149
ENSG00000019144,PHLDB1,HGNC:23697
ENSG00000019169,MARCO,HGNC:6895
ENSG00000019186,CYP24A1,HGNC:2602
ENSG00000019485,PRDM11,HGNC:13996
ENSG00000019505,SYT13,HGNC:14962
ENSG00000019549,SNAI2,HGNC:11094
ENSG00000019582,CD74,HGNC:1697
ENSG00000019991,HGF,HGNC:4893
ENSG00000019995,ZRANB1,HGNC:18224
ENSG00000020129,NCDN,HGNC:17597
ENSG00000020181,ADGRA2,HGNC:17849
ENSG00000020256,ZFP64,HGNC:15940
ENSG00000020426,MNAT1,HGNC:7181
ENSG00000020577,SAMD4A,HGNC:23023
ENSG00000020633,RUNX3,HGNC:10473
ENSG00000020922,MRE11,HGNC:7230
ENSG00000021300,PLEKHB1,HGNC:19079
ENSG00000021355,SERPINB1,HGNC:3311
ENSG00000021461,CYP3A43,HGNC:17450
ENSG00000021488,SLC7A9,HGNC:11067
ENSG00000021574,SPAST,HGNC:11233
ENSG00000021645,NRXN3,HGNC:8010
ENSG00000021762,OSBPL5,HGNC:16392
ENSG00000021776,AQR,HGNC:29513
ENSG00000021826,CPS1,HGNC:2323
ENSG00000021852,C8B,HGNC:1353
ENSG00000022267,FHL1,HGNC:3702
ENSG00000022277,RTF2,HGNC:15890
ENSG00000022355,GABRA1,HGNC:4075
ENSG00000022556,NLRP2,HGNC:22948
ENSG00000022567,SLC45A4,HGNC:29196
ENSG00000022840,RNF10,HGNC:10055
ENSG00000022976,ZNF839,HGNC:20345
ENSG00000023041,ZDHHC6,HGNC:19160
ENSG00000023171,GRAMD1B,HGNC:29214
ENSG00000023191,RNH1,HGNC:10074
ENSG00000023228,NDUFS1,HGNC:7707
ENSG00000023287,RB1CC1,HGNC:15574
ENSG00000023318,ERP44,HGNC:18311
ENSG00000023330,ALAS1,HGNC:396
ENSG00000023445,BIRC3,HGNC:591
ENSG00000023516,AKAP11,HGNC:369
ENSG00000023572,GLRX2,HGNC:16065
ENSG00000023608,SNAPC1,HGNC:11134
ENSG00000023697,DERA,HGNC:24269
ENSG00000023734,STRAP,HGNC:30796
ENSG00000023839,ABCC2,HGNC:53
ENSG00000023892,DEF6,HGNC:2760
ENSG00000023902,PLEKHO1,HGNC:24310
ENSG00000023909,GCLM,HGNC:4312
ENSG00000024048,UBR2,HGNC:21289
ENSG00000024422,EHD2,HGNC:3243
ENSG00000024526,DEPDC1,HGNC:22949
ENSG00000024862,CCDC28A,HGNC:21098
ENSG00000025039,RRAGD,HGNC:19903
ENSG00000025156,HSF2,HGNC:5225
ENSG00000025293,PHF20,HGNC:16098
ENSG00000025423,HSD17B6,HGNC:23316
ENSG00000025434,NR1H3,HGNC:7966
ENSG00000025708,TYMP,HGNC:3148
ENSG00000025770,NCAPH2,HGNC:25071
ENSG00000025772,TOMM34,HGNC:15746
ENSG00000025796,SEC63,HGNC:21082
ENSG00000025800,KPNA6,HGNC:6399
ENSG00000026025,VIM,HGNC:12692
ENSG00000026036,RTEL1-TNFRSF6B,HGNC:44095
ENSG00000026103,FAS,HGNC:11920
ENSG00000026297,RNASET2,HGNC:21686
ENSG00000026508,CD44,HGNC:1681
ENSG00000026559,KCNG1,HGNC:6248
ENSG00000026652,AGPAT4,HGNC:20885
ENSG00000026751,SLAMF7,HGNC:21394
ENSG00000026950,BTN3A1,HGNC:1138
ENSG00000027001,MIPEP,HGNC:7104
ENSG00000027075,PRKCH,HGNC:9403
ENSG00000027644,INSRR,HGNC:6093
ENSG00000027697,IFNGR1,HGNC:5439
ENSG00000027847,B4GALT7,HGNC:930
ENSG00000027869,SH2D2A,HGNC:10821
ENSG00000028116,VRK2,HGNC:12719
ENSG00000028137,TNFRSF1B,HGNC:11917
ENSG00000028203,VEZT,HGNC:18258
ENSG00000028277,POU2F2,HGNC:9213
ENSG00000028310,BRD9,HGNC:25818
ENSG00000028528,SNX1,HGNC:11172
ENSG00000028839,TBPL1,HGNC:11589
ENSG00000029153,ARNTL2,HGNC:18984
ENSG00000029363,BCLAF1,HGNC:16863
ENSG00000029364,SLC39A9,HGNC:20182
ENSG00000029534,ANK1,HGNC:492
ENSG00000029559,IBSP,HGNC:5341
ENSG00000029639,TFB1M,HGNC:17037
ENSG00000029725,RABEP1,HGNC:17677
ENSG00000029993,HMGB3,HGNC:5004
ENSG00000030066,NUP160,HGNC:18017
ENSG00000030110,BAK1,HGNC:949
ENSG00000030304,MUSK,HGNC:7525
ENSG00000030419,IKZF2,HGNC:13177
ENSG00000030582,GRN,HGNC:4601
ENSG00000031003,FAM13B,HGNC:1335
ENSG00000031081,ARHGAP31,HGNC:29216
ENSG00000031691,CENPQ,HGNC:21347
ENSG00000031698,SARS1,HGNC:10537
ENSG00000031823,RANBP3,HGNC:9850
ENSG00000032219,ARID4A,HGNC:9885
ENSG00000032389,EIPR1,HGNC:12383
ENSG00000032444,PNPLA6,HGNC:16268
ENSG00000032742,IFT88,HGNC:20606
ENSG00000033011,ALG1,HGNC:18294
ENSG00000033030,ZCCHC8,HGNC:25265
ENSG00000033050,ABCF2,HGNC:71
ENSG00000033100,CHPF2,HGNC:29270
ENSG00000033122,LRRC7,HGNC:18531
ENSG00000033170,FUT8,HGNC:4019
ENSG00000033178,UBA6,HGNC:25581
ENSG00000033327,GAB2,HGNC:14458
ENSG00000033627,ATP6V0A1,HGNC:865
ENSG00000033800,PIAS1,HGNC:2752
ENSG00000033867,SLC4A7,HGNC:11033
ENSG00000034053,APBA2,HGNC:579
ENSG00000034152,MAP2K3,HGNC:6843
ENSG00000034239,EFCAB1,HGNC:25678
ENSG00000034510,TMSB10,HGNC:11879
ENSG00000034533,ASTE1,HGNC:25021
ENSG00000034677,RNF19A,HGNC:13432
ENSG00000034693,PEX3,HGNC:8858
ENSG00000034713,GABARAPL2,HGNC:13291
ENSG00000034971,MYOC,HGNC:7610
ENSG00000035115,SH3YL1,HGNC:29546
ENSG00000035141,FAM136A,HGNC:25911
ENSG00000035403,VCL,HGNC:12665
ENSG00000035499,DEPDC1B,HGNC:24902
ENSG00000035664,DAPK2,HGNC:2675
ENSG00000035681,NSMAF,HGNC:8017
ENSG00000035687,ADSS2,HGNC:292
ENSG00000035720,STAP1,HGNC:24133
ENSG00000035862,TIMP2,HGNC:11821
ENSG00000035928,RFC1,HGNC:9969
ENSG00000036054,TBC1D23,HGNC:25622
ENSG00000036257,CUL3,HGNC:2553
ENSG00000036448,MYOM2,HGNC:7614
ENSG00000036473,OTC,HGNC:8512
ENSG00000036530,CYP46A1,HGNC:2641
ENSG00000036549,ZZZ3,HGNC:24523
ENSG00000036565,SLC18A1,HGNC:10934
ENSG00000036672,USP2,HGNC:12618
ENSG00000036828,CASR,HGNC:1514
ENSG00000037042,TUBG2,HGNC:12419
ENSG00000037241,RPL26L1,HGNC:17050
ENSG00000037280,FLT4,HGNC:3767
ENSG00000037474,NSUN2,HGNC:25994
ENSG00000037637,FBXO42,HGNC:29249
ENSG00000037749,MFAP3,HGNC:7034
ENSG00000037757,MRI1,HGNC:28469
ENSG00000037897,METTL1,HGNC:7030
ENSG00000037965,HOXC8,HGNC:5129
ENSG00000038002,AGA,HGNC:318
ENSG00000038210,PI4K2B,HGNC:18215
ENSG00000038219,BOD1L1,HGNC:31792
ENSG00000038274,MAT2B,HGNC:6905
ENSG00000038295,TLL1,HGNC:11843
ENSG00000038358,EDC4,HGNC:17157
ENSG00000038382,TRIO,HGNC:12303
ENSG00000038427,VCAN,HGNC:2464
ENSG00000038532,CLEC16A,HGNC:29013
ENSG00000038945,MSR1,HGNC:7376
ENSG00000039068,CDH1,HGNC:1748
ENSG00000039123,MTREX,HGNC:18734
ENSG00000039139,DNAH5,HGNC:2950
ENSG00000039319,ZFYVE16,HGNC:20756
ENSG00000039523,RIPOR1,HGNC:25836
ENSG00000039537,C6,HGNC:1339
ENSG00000039560,RAI14,HGNC:14873
ENSG00000039600,SOX30,HGNC:30635
ENSG00000039650,PNKP,HGNC:9154
ENSG00000039987,BEST2,HGNC:17107
ENSG00000040199,PHLPP2,HGNC:29149
ENSG00000040275,SPDL1,HGNC:26010
ENSG00000040341,STAU2,HGNC:11371
ENSG00000040487,SLC66A1,HGNC:26001
ENSG00000040531,CTNS,HGNC:2518
ENSG00000040608,RTN4R,HGNC:18601
ENSG00000040633,PHF23,HGNC:28428
ENSG00000040731,CDH10,HGNC:1749
ENSG00000040933,INPP4A,HGNC:6074
ENSG00000041353,RAB27B,HGNC:9767
ENSG00000041357,PSMA4,HGNC:9533
ENSG00000041515,MYO16,HGNC:29822
ENSG00000041802,LSG1,HGNC:25652
ENSG00000041880,PARP3,HGNC:273
ENSG00000041982,TNC,HGNC:5318
ENSG00000041988,THAP3,HGNC:20855
ENSG00000042062,RIPOR3,HGNC:16168
ENSG00000042088,TDP1,HGNC:18884
ENSG00000042286,AIFM2,HGNC:21411
ENSG00000042304,C2orf83,HGNC:25344
ENSG00000042317,SPATA7,HGNC:20423
ENSG00000042429,MED17,HGNC:2375
ENSG00000042445,RETSAT,HGNC:25991
ENSG00000042493,CAPG,HGNC:1474
ENSG00000042753,AP2S1,HGNC:565
ENSG00000042781,USH2A,HGNC:12601
ENSG00000042813,ZPBP,HGNC:15662
ENSG00000042832,TG,HGNC:11764
ENSG00000042980,ADAM28,HGNC:206
ENSG00000043039,BARX2,HGNC:956
ENSG00000043093,DCUN1D1,HGNC:18184
ENSG00000043143,JADE2,HGNC:22984
ENSG00000043355,ZIC2,HGNC:12873
ENSG00000043462,LCP2,HGNC:6529
ENSG00000043514,TRIT1,HGNC:20286
ENSG00000043591,ADRB1,HGNC:285
ENSG00000044012,GUCA2B,HGNC:4683
ENSG00000044090,CUL7,HGNC:21024
ENSG00000044115,CTNNA1,HGNC:2509
ENSG00000044446,PHKA2,HGNC:8926
ENSG00000044459,CNTLN,HGNC:23432
ENSG00000044524,EPHA3,HGNC:3387
ENSG00000044574,HSPA5,HGNC:5238
ENSG00000046604,DSG2,HGNC:3049
ENSG00000046647,GEMIN8,HGNC:26044
ENSG00000046651,OFD1,HGNC:2567
ENSG00000046653,GPM6B,HGNC:4461
ENSG00000046774,MAGEC2,HGNC:13574
ENSG00000046889,PREX2,HGNC:22950
ENSG00000047056,WDR37,HGNC:31406
